speaker,occupation,about_speaker,language
Al Gore,{0: ['climate advocate']},{0: 'Nobel Laureate Al Gore focused the world’s attention on the global climate crisis. Now he’s showing us how we’re moving towards real solutions.\r\n'},en
Hans Rosling,{0: ['global health expert; data visionary']},"{0: 'In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus.'}",en
David Pogue,{0: ['technology columnist']},"{0: 'David Pogue is the personal technology columnist for the <em>New York Times</em> and a tech correspondent for CBS News. He\'s also one of the world\'s bestselling how-to authors, with titles in the For Dummies series and his own line of ""Missing Manual"" books. '}",en
Majora Carter,{0: ['activist for environmental justice']},"{0: 'Majora Carter redefined the field of environmental equality, starting in the South Bronx at the turn of the century.  Now she is leading the local economic development movement across the USA.'}",en
Sir Ken Robinson,"{0: ['author', 'educator']}","{0: ""Creativity expert Sir Ken Robinson challenges the way we're educating our children. He champions a radical rethink of our school systems, to cultivate creativity and acknowledge multiple types of intelligence. ""}",en
Joshua Prince-Ramus,{0: ['architect']},"{0: 'Joshua Prince-Ramus is best known as architect of the Seattle Central Library, already being hailed as a masterpiece of contemporary culture. Prince-Ramus was the founding partner of OMA New York—the American affiliate of the Office for Metropolitan Architecture (OMA) in the Netherlands—and served as its Principal until he renamed the firm REX in 2006.'}",en
Julia Sweeney,"{0: ['actor', 'comedian', 'playwright']}","{0: 'Julia Sweeney creates comedic works that tackle deep issues like cancer, family and faith.'}",en
Dan Dennett,"{0: ['philosopher', 'cognitive scientist']}",{0: 'Dan Dennett thinks that human consciousness and free will are the result of physical processes.'},en
Rick Warren,"{0: ['pastor', 'author']}","{0: 'Pastor Rick Warren is the author of <em>The Purpose-Driven Life,</em> which has sold more than 30 million copies worldwide. His has become an immensely influential voice seeking to apply the values of his faith to issues such as global poverty, HIV/AIDS and injustice.'}",en
Jehane Noujaim,{0: ['filmmaker']},{0: 'TED Prize winner Jehane Noujaim is a gutsy filmmaker whose astonishing documentaries reveal the triumphs and hardships of courageous individuals. '},en
Larry Brilliant,"{0: ['epidemiologist', 'philanthropist']}","{0: ""TED Prize winner Larry Brilliant has spent his career solving the world's biggest problems, from overseeing the last smallpox cases to saving millions from blindness.""}",en
Cameron Sinclair,"{0: ['co-founder', 'architecture for humanity']}","{0: ""2006 TED Prize winner Cameron Sinclair is co-founder of Architecture for Humanity, a nonprofit that seeks architecture solutions to global crises -- and acts as a conduit between the design community and the world's humanitarian needs.""}",en
Nicholas Negroponte,{0: ['tech visionary']},"{0: ""The founder of the MIT Media Lab, Nicholas Negroponte pushed the edge of the information revolution as an inventor, thinker and angel investor. He's the driving force behind One Laptop per Child, building computers for children in the developing world.  ""}",en
Jeff Han,{0: ['human-computer interface designer']},"{0: 'After years of research on touch-driven computer displays, Jeff Han has created a simple, multi-touch, multi-user screen interface that just might herald the end of the point-and-click era. '}",en
Jennifer Lin,"{0: ['pianist', 'composer']}","{0: 'Concert pianist and composer Jennifer Lin was only 14 when she performed at TED, drawing tears with her extraordinary improvisation.'}",en
Sirena Huang,{0: ['violinist']},"{0: 'Sirena Huang started taking violin lessons at age 4 and made her professional solo debut at 9 with the Taiwan Symphony Orchestra. She has won top prizes in numerous international competitions, delighting audiences worldwide with her virtuosity and charm. '}",en
Amy Smith,"{0: ['inventor', 'engineer']}","{0: 'Amy Smith designs cheap, practical fixes for tough problems in developing countries. Among her many accomplishments, the MIT engineer received a MacArthur ""genius"" grant in 2004 and was the first woman to win the Lemelson-MIT Prize for turning her ideas into inventions.'}",en
Ross Lovegrove,{0: ['industrial designer']},"{0: 'Known as ""Captain Organic,"" Ross Lovegrove embraces nature as the inspiration for his ""fat-free"" design. Each object he creates -- be it bottle, chair, staircase or car -- is reduced to its essential elements. His pieces offer minimal forms of maximum beauty.'}",en
Jimmy Wales,{0: ['founder of wikipedia']},"{0: 'With a vision for a free online encyclopedia, Wales assembled legions of volunteer contributors, gave them tools for collaborating, and created the self-organizing, self-correcting, ever-expanding, multilingual encyclopedia of the future.'}",en
Richard Baraniuk,{0: ['education visionary']},"{0: 'Richard Baraniuk founded Connexions -- now called OpenStax -- a free, open-source, global clearinghouse of course materials. Students and educators tap into its vast store of texts on everything from engineering to ornithology to music, adapting the content as they see fit.'}",en
Ze Frank,{0: ['web humorist']},"{0: 'Ze Frank has been involved in online comedy, web toys and virtually shared experiences for the past 20 years as an influencer, performer, executive and mischief maker.'}",en
Mena Trott,"{0: ['blogger; cofounder', 'six apart']}","{0: 'Mena Trott and her husband Ben founded Six Apart in a spare bedroom after the blogging software they developed grew beyond a hobby. With products Movable Type, TypePad, LiveJournal and Vox, the company has helped lead the ""social media"" revolution.'}",en
Helen Fisher,"{0: ['anthropologist', 'expert on love']}",{0: 'Anthropologist Helen Fisher studies gender differences and the evolution of human emotions. She’s best known as an expert on romantic love.'},en
Eve Ensler,"{0: ['playwright', 'activist']}","{0: 'Eve Ensler created the groundbreaking ""Vagina Monologues,"" whose success propelled her to found V-Day -- a movement to end violence against women and girls everywhere.'}",en
Richard Dawkins,{0: ['evolutionary biologist']},"{0: 'Oxford professor Richard Dawkins has helped steer evolutionary science into the 21st century, and his concept of the ""meme"" contextualized the spread of ideas in the information age. In recent years, his devastating critique of religion has made him a leading figure in the New Atheism.'}",en
David Deutsch,"{0: ['physicist', 'author']}","{0: 'A pioneer in quantum computation and quantum information theory, David Deutsch now seeks to define the boundaries between the possible and the impossible.'}",en
Malcolm Gladwell,{0: ['writer']},"{0: ""Detective of fads and emerging subcultures, chronicler of jobs-you-never-knew-existed, Malcolm Gladwell's work is toppling the popular understanding of bias, crime, food, marketing, race, consumers and intelligence.""}",en
Steven Levitt,{0: ['economist']},"{0: ""Steven Levitt's eye-opening <em>Freakonomics</em> took economic theory into the real world of suburban parenting and urban drug gangs, turning conventional wisdom upside-down.""}",en
